repo,base_commit,num_java_files,num_loc,num_pom_xml,num_src_test_java_files,num_test_cases,license
BillKiller/JavaFX-Plus,a82844cf352d8c1f22a31338306cab373ad45d43,88,8590,1,5,8,MIT
BjoernKW/oauth2-with-jira,d24180b10d3bd803524dc858db1e01f41bfe8dfe,6,251,1,1,1,Apache-2.0
blue-veery-gmbh/spring-rest-2-ts,86b75e9265454049c3162bfba6792607a02491c4,180,10141,15,0,1,MIT
BlueObelisk/chemicaltagger,8a4e6b1fd4b92ae66e6d058327e920a0777ccbff,44,7434,1,19,-1,Apache-2.0
bndtools/jpmcli,760842ec8c4b9f5a0adf9ed001b072d9b29d7c55,32,9333,1,2,1,Apache-2.0
bogdansolga/spring-boot-training,cebc1891058a1cecdc70b2599c1943e4203e6643,313,11509,69,0,5,Apache-2.0
boku-inc/boku-http-auth,d368f3e599aa35e1ba6221763046d451867a63fb,68,7983,7,0,28,MIT
braveMind/timer,18869a490038be90191d01cb0fa49b030ca104d5,123,6986,5,0,1,Apache-2.0
bremersee/common-base,e60318b03b724861b0bc436ff38907a377d71cd5,161,17330,6,0,22,Apache-2.0
brettwooldridge/SansOrm,ab22721db79c5f20c0e8483f09eda2844d596557,44,8328,1,26,85,Apache-2.0
bwssytems/nest-controller,5c365f51c5e4a83074241850409a6d0e904b0b50,26,6488,1,2,0,Apache-2.0
cailichao/mallProject,892f8bceab99f29d0a3e9d9d2f7ab5276ebf8e74,472,80677,7,0,2,Apache-2.0
Camphul/Trampoline,cffea5e50ca9b82d3e981b8ae4c2e38e214494d8,267,13841,35,0,2,MIT
camunda-community-hub/camunda-bpm-junit5,b4d14f3a981c06c47bc9071182a3c4101453c035,19,980,4,0,1,Apache-2.0
cerner/common-kafka,05d875a26e46455698556f8b44eedab9a0a686a5,33,9127,4,0,9,Apache-2.0
christophd/simulator-google-sheets,863e30bcdf1bb6144f875765685be255f9ad2d84,27,2667,1,6,8,Apache-2.0
citerus/dddsample-core,04cfae9e67683fc56e41606673829d271db20638,142,9297,1,45,76,MIT
Citymonstret/Rorledning,250102dc4c06abde191feb89d8aad0f7c7d6a45e,39,2533,1,18,10,MIT
cloudentity/vertx-tools,f302f03e3847ffd47b4ba8c4fc7beb34eed60355,159,10808,21,0,4,Apache-2.0
cloudfoundry-community/cf-java-component,39ffbe87f43f84372f713bb51c9125535929e5bb,167,15176,7,0,41,Apache-2.0
cloudiator/visor,96573c2631bb1a797da64b38591fb0f26576f56d,133,9762,13,0,12,Apache-2.0
cmcamdy/student_status_management_springboot,88dac381e67e990b8b44c39a565808d91a938725,31,1350,1,1,1,MIT
cnsuhao/jcseg,4864872ab6b4819a78df5b7abadeda0be840aa97,127,23483,5,0,1,Apache-2.0
codelibs/elasticsearch-langfield,6fd834a9311db3c94e181216266712983e479743,13,2712,1,5,24,Apache-2.0
codengine/tankerkoenig-api-client,af10e9429c340cb0db614637b73000f54cede58c,71,7248,1,33,140,MIT
Comic-Con-Museum/fan-forge-backend,e6576c190333d23212b5f7588f1ec0b48d4f0902,38,2935,1,1,-1,Apache-2.0
Contargo/contargo-types,5648021354d30fbf5021234e4e8768d7f30e9d79,72,6761,1,27,272,Apache-2.0
cqfn/reportwine,6e0b22f4e990f959ed059cc4e80d68c7e1cc8b60,56,5896,1,20,54,MIT
cr0wbar/Bananarama,c0415c53712dda63da7f9f1ecc7b989cfb1bed21,101,6858,3,0,5,Apache-2.0
cryptid-org/cryptid-java,d0b1089d22f26ae3dca3701c6da6073a1fc4a3e4,61,3480,4,0,287,Apache-2.0
ctco/cukes,ddede60dccfc8c1d7666cb02c50461738b5990a5,202,9558,21,0,6,Apache-2.0
CubeEngine/ReflecT,edad9418c2cb85822b50f45c639a09aec78fe386,83,7167,6,0,3,MIT
dabla/grizzly-spring-boot-starter,16807691c69750bc9fb2e1bf07e5b97069c454ee,20,974,3,0,4,Apache-2.0
DaiYuanchuan/tool,c1e9708f7f0270c3dd6dedeb3231e7f361032e03,163,16590,6,0,6,Apache-2.0
datastax/native-protocol,78e62fd7c93afb2500c7db103f4bf7c9dfd6662d,145,17807,1,58,591,Apache-2.0
datastax/pulsar-sink,f2f32bab7292069a9a32f36a398ce6d0f31e47f5,50,8211,4,0,16,Apache-2.0
dcendents/mybatis-generator-plugins,ab8ac8c4bd962e4a7479061623c1fbe8addf57e2,23,5587,1,12,173,Apache-2.0
devicehive/devicehive-java-server,ed70be82db9d050544cd3ca21d66905efca9ac88,408,41065,14,0,1,Apache-2.0
dgroup/xlsx-matchers,793f2cd74a08339c372cdea0fad07fb0d1c04c6f,20,1615,1,3,8,MIT
dhutchison/sonar-alloweddependencies-plugin,6f4751686122e6cbba7faa128d26ba96bf81856e,13,1297,1,6,16,MIT
diabolicallabs/vertx-process-manager,c48b8641ef0065cc4200901e202e9dfc23e34735,55,8086,1,5,28,Apache-2.0
DickChesterwood/fleetman-webapp,8bb27b695219979d0da44b13b927c320885d26d9,13,563,1,1,1,MIT
diennea/blazingcache,f8107837ccf7ce3167bdf3bd854eef7c37e726a6,138,22214,6,0,1,Apache-2.0
digipost/digg,65db4df7d73f864c5165d9551a939149603e5d15,164,16929,1,58,465,Apache-2.0
dilagurung/java-request-interceptor,57406451e1c81c101f03cc78d3087e30c8e1375b,7,338,1,1,1,Apache-2.0
dkpro/dkpro-jwpl,0a0304b6a0aa13acc18838957994e06dd4613a58,385,67445,10,0,1,Apache-2.0
DreamJM/TLVCodec,7a2b77534bf401e05109b9a9f29d472432726d2e,32,2582,4,0,1,Apache-2.0
dropwizard/dropwizard-elasticsearch,22b4e6418177f73681a73f46d961c26bf9d290ab,12,879,1,6,32,Apache-2.0
dropwizard/dropwizard-health,08d83c3843522300fb0063ca406bad65a75e561a,34,3257,1,14,47,Apache-2.0
dvgaba/easy-rules,42e6f4bce8003e6d721b5e7a8d4d7bfb652f204a,136,12276,9,0,25,MIT
dynodao/dynodao,c444fd10c769dfaaedeff5689768b5ccc6de4da5,217,16515,6,0,2750,Apache-2.0
eclipse/keti,a1c8dbeba85235fc7dd23619316ed7e500bc0b14,302,33675,5,0,917,Apache-2.0
epignosisx/spring-cloud-config-server-jwt,49a923eb4c973b930bfe1d5d68f2bc5b25414ced,8,422,1,1,1,MIT
erhmutlu/iyzico-kafka-demo,77ab3bef7eee59883ec2db3b2a1ef136381951ee,33,1102,4,0,1,MIT
Erudika/para,f17691b2173aba0611ee1b349c2c4ca05306e57a,206,43549,6,0,241,Apache-2.0
EvanDylan/unicorn,2568c3367cf296e0a971f4c84c080d8d94a93ab0,264,36378,16,0,1,Apache-2.0
exabrial/form-binding,5e997ef96e890918de6b10083e612af1471403dc,26,895,5,0,2,Apache-2.0
ExpediaGroup/adaptive-alerting,e4293905526a9f22dea6a5ce2677d1264d39f79e,387,30369,6,0,171,Apache-2.0
ExpediaGroup/rhapsody,4046bd7e7d3a9bc1521b08c01ae9e95bebf9b30f,317,22521,16,0,6,Apache-2.0
eXsio/nestedj,0d751a178999c87f07df4298df04afc838764789,95,9436,1,37,153,MIT
fabric8io/vertx-maven-plugin,6dd9a19ed7da4f70a5043d37585e25a978e3bbbc,135,11414,59,56,21,Apache-2.0
fabriciofx/rockpaperscissors,ec96704cbf835ecffd3e9e1866d16a2473955f76,41,2507,1,5,10,MIT
fbeaufume/spring-graphql-sample,d61fe282d8cd1372e5f6a152f77fdce8cb535dd1,13,531,1,1,4,MIT
fedefary/signer,7fece3bc4a288b1e317da5100954fc229aec448d,13,536,1,1,1,MIT
FedUni/caliko,e4489cee6dd70774cbfe3e84a3757ff504fef642,73,18497,5,0,4,MIT
fenixsoft/microservice_arch_springcloud,29208692bf0abcce16cd55cfcca364f36fefc11f,87,5290,11,0,7,Apache-2.0
fh-erfurt/RentATool,1021b6370bb575a1139bd72842751d8584a6b802,72,4858,1,23,69,MIT
fhnw-imvs/fhnw-verneauth,ffda5d0f7020fbc84f8bdc9ef43486cd1dec434f,18,1671,1,3,18,Apache-2.0
fishstormX/logsight,125656e1f32060511c27025fa57958eb4d966b79,96,4764,4,0,1,MIT
fluentxml4j/fluentxml4j,512f085acdfb0bf7b8a867735d15818fa9d5d7bd,95,6529,3,0,146,Apache-2.0
forezp/BootNettyRpc,a624c79ce804a99c9599ca9a0ea3bb9dc17938ec,108,5794,9,0,1,Apache-2.0
fridujo/spring-automocker,cfae8bace4bfebb3131634b018310ed32c57294a,92,4281,13,0,37,Apache-2.0
fromi/spring-google-openidconnect,7e29fdfa27f41848dd95f3788c088bffa235888f,7,281,1,1,-2,MIT
gazbert/bxbot-ui-server,ea08079efb8bfca31bc4c8b6e3c327e968d8de9d,120,13616,8,0,129,MIT
gbif/name-parser,b102b3d2f55eb979cdaa8d4b2a31d336315d8173,42,13033,4,0,9,Apache-2.0
gitile/fast-spring-boot,f362d9b6ae751a936925dd06f72f8da3a57fc0b7,57,2749,5,0,7,Apache-2.0
google/java-monitoring-client-library,2a437430a999cd8c6bc01adeedff35dbffd3bf8c,50,6244,4,0,18,Apache-2.0
googleads/googleads-java-lib,a2ca297aa025ddd092b14c714403c5d143521459,10970,1773940,7,0,24,Apache-2.0
gquintana/metrics-sql,de85750e921b64c8f7084a0be6e622de307c3e19,54,4743,1,25,60,Apache-2.0
HaoQiangJiang/file-manage,8ef164f98faea64a283b539451f029f67d62bc17,36,2560,1,1,1,Apache-2.0
hexagonframework/spring-data-ebean,335ea406340ab1431cb415c0dacb5eb6401bad91,64,6883,1,13,48,Apache-2.0
holon-platform/holon-examples,c00f158beb5eba245fbb5c4c18a2284d0ed1eccf,77,5448,24,0,1,Apache-2.0
holon-platform/holon-vaadin,d56d6f6c8cec716636b3edb3bc57d16a6937e4be,339,56328,9,0,4,Apache-2.0
holon-platform/holon-vaadin7,fe295bb0adb682032496b84ab073f7548b3500e7,321,50986,9,0,1,Apache-2.0
hungbang/xchange-stream,153a9dade5d2d1abd62c5b8af4dfc996cce27fdb,126,7898,19,0,2,Apache-2.0
hzpz/mongeez-spring-boot-starter,15366a4b02bc743f31cd030636872bd276259811,5,530,1,2,8,Apache-2.0
ibm-messaging/kafka-connect-jdbc-sink,047fb6c7a3fb385429693a01561a55b909ecb925,22,1947,1,7,22,Apache-2.0
IBM/cc-dbp,92f6079dd2a56d33827f944913bb369ebf33f027,291,37255,9,0,2,Apache-2.0
iKubernetes/spring-boot-helloWorld,fea6fe43e54f3f0ed434b5f2f2b3e1c3e938d8e8,5,129,1,3,3,Apache-2.0
jahlborn/jackcess,22bf8a8642c84fc500f5c66ef59de1f7211f93a3,233,69087,1,41,-2,Apache-2.0
jakartaee/cdi,7b085ac47cd7477f54f7c6baffc846a4d2733179,223,19743,4,0,5,Apache-2.0
JanStrauss/skadi,9a1ffb73d76d8f026bde701ac8ad4c03d0c9dca3,64,7193,1,2,1,MIT
jaredpetersen/kafka-connect-arangodb,9b92e1e0daeb6066a9f5a074cbc8aba0b13da487,16,1767,1,8,48,MIT
jarlehansen/springfox-loader,cdd05aff73e94bfbb7fc21f0b5fcd78c13eab5c5,10,535,1,4,17,Apache-2.0
JaroslavTulach/heapdump,87042b6e4f8b58dd49cb0df3bd6867621f5d5e27,2,127,1,1,1,Apache-2.0
jaxxy-rs/jaxxy,9dfcefc119b80d4c6435b6d1acd3649c370f85d3,107,6922,17,0,10,Apache-2.0
jd-middleware/laf-vertx,e3c4cd1c0e9db71d1ae0f4a6b56eccff42c50c23,161,14241,6,0,1,Apache-2.0
jenkinsci/bitbucket-push-and-pull-request-plugin,6dd41e7db8caca1f3e99afe66f9ed527b3f859e2,177,17162,1,25,12,MIT
jenkinsci/chef-identity-plugin,bb784cd67b245a97c06e51e6dc477fe21355d8d7,4,491,1,0,8,MIT
jenkinsci/hashicorp-vault-plugin,8a1ee1cccf3a88078507023c6426b6452b0a7c5b,87,9014,1,29,-1,MIT
jmiddleton/cassandra-fhir-index,251973840a486204959b88854a4aad636eec3df1,49,6482,3,0,4,Apache-2.0
jobmission/oauth2-client,6e792b57816b586ca1755dde0b1fa5b93a1eaad9,6,534,1,1,-1,MIT
jochen777/jWebForm,f40fc4a9c221827a9ffbb52bbfdc8e7613081d21,168,8856,5,0,1,MIT
JodaOrg/joda-beans,92f8558759bf0ca57506a3dcbba7a6e37c71aea4,326,86321,1,194,888,Apache-2.0
joel-costigliola/assertj-neo4j,3d7e5101703ac98859aad3792514812d96ce6a99,76,6666,1,44,230,Apache-2.0
jonashackt/spring-boot-rest-clientcertificate,8b3a6c8e1c93a42fb9dc3244b573213208f1e3c8,5,128,1,2,1,MIT
JosePaumard/streams-utils,af387cd90f076fef0f873f9900fd9c2a86733610,54,7770,1,32,217,Apache-2.0
jReddit/jReddit,ac0b518f190c30228e401ef66d53329bbd27bad6,95,7089,1,16,44,MIT
jsiebens/titanite,419b9e25813ce044d8e772eb498a8ad96695b967,146,11777,13,0,1,Apache-2.0
jspare-projects/vertx-jspare,327a66ef6191fe0e6818440ae4b3eee1a372ae49,128,15254,5,0,3,Apache-2.0
jTendermint/jabci,6c595094a63dbfdfdb5b40faa51019ba7f75f851,115,42867,1,1,4,MIT
juzi214032/OERP,c1df7c1dab5de02d6e107e80fca6c2cec013aa03,116,5374,1,5,4,MIT
jzheaux/resolutions,5632a44cc9673bbf7b43e807b97d38c89b6bc1bf,12,589,1,1,1,Apache-2.0
jzheaux/spring-security-oauth2-authorization-server,1ab91c72a56df8b69e79cb34b32d1a3fcec85c4b,10,795,1,1,1,Apache-2.0
kantega/respiro,aae62c91a67c09a1968b612fe2f640d30936b169,166,12319,41,0,1,Apache-2.0
kennycyb/java-ui-factory,b7664a93c3d98155e1ca43714ee19094dd4da6d7,158,8667,1,1,3,Apache-2.0
khmarbaise/iterator-maven-plugin,26e4df412235f4309efba30715ff5ea09c422521,26,3113,26,4,26,Apache-2.0
knes1/springmockedtests,10bba566a28c3a26404dd4af5d02a2b26ced7687,16,596,1,4,1,MIT
knowsys/rulewerk,da851206c868140b11b7a2c4395d60bf25b80878,285,38257,12,0,99,Apache-2.0
leancloud/kafka-java-consumer,f22719995c57eb66a411b98b1ed71e2dbad940f9,59,6898,1,29,144,MIT
leanstacks/spring-security-fundamentals,6b258fca68ea0b84eeb4d05bcb2cda20e210909d,27,2586,1,5,-2,Apache-2.0
LevelFourAB/dust,e39515e31f7ed03a7be69c04d55eabd9ae2f6506,304,30045,6,0,149,Apache-2.0
lfkdsk/Just-Evaluator,adc92bd9650057b757a97cdc45eff725ac3dfae5,184,20084,1,56,164,Apache-2.0
ljessendk/easybinder,87cb0aa946896f5ff2ca6907f2b0dd0d46cb3bcd,53,6436,1,35,169,Apache-2.0
lkrnac/blog-2014-12-06-mock-spring-bean,396af50db7af42d23dde0c59c0e5e74e3467eb49,10,203,1,5,-2,MIT
LLNL/coda-calibration-tool,7e3fe1f78b7bbde07ea2251a00a93a61ba27e949,484,69123,11,0,35,Apache-2.0
logfellow/logstash-logback-encoder,53cf5fd0bec118d852a16b5cd9915630c7b77738,266,34693,1,77,506,Apache-2.0
m1l4n54v1c/meetup,b3492a44aebc7542007a79ed263340a61026aa2c,10,414,4,0,5,Apache-2.0
malchooni/buycycle,ad6048216f34f913cffde90583a5850d7b0c1666,55,4490,1,1,1,MIT
manuel-freire/iw1819,4016302b0790af5e8832a816d56d8804f97f12cc,23,1764,1,4,5,Apache-2.0
matchbook-technology/matchbook-sdk,a40fe18c8e446a73cd853b688446656c8c32af05,190,11100,4,0,2,MIT
matthewgallina/smockin,f6a095355a061162e616e45c2cba25872ee21aec,247,25185,1,26,252,Apache-2.0
Mercateo/rest-schemagen,4077f51de8b846870d08f85a1e3b3c5da9719b5f,168,12069,1,63,264,Apache-2.0
mesosphere/marathon-client,d8d0f5585d79039e5f941cdd08b66dd9454571b2,80,4786,1,3,-2,Apache-2.0
mesosphere/mesos-rxjava,026afeb542f8e06eaa6f10fc4ed5b816e7014ad3,58,6954,8,0,1,Apache-2.0
Minnull/runboot,544d75b445901c82e95f94abb91693bacaa5e7ee,34,2397,1,1,1,MIT
mjeanroy/springmvc-mustache,f45d38512632199de7051f10042296f0d00068a1,148,15755,15,0,2,MIT
mkobayas/minimum-marshaller,3a8d86decd7c02ef756522336f4483e6f53574d1,132,13375,1,72,93,Apache-2.0
moar-regex/moar,c406bddfbf78c00830fbbf1235290c20007f3325,66,8645,6,0,3,MIT
moduliths/moduliths,914b5c70df14aa14a62c0eb138d833b6d5bdf703,163,14367,15,0,13,Apache-2.0
monitorjbl/excel-streaming-reader,af775bab85e873e839c0e36f71c9dfcb830b54b2,26,5064,1,6,43,Apache-2.0
moonLexie/liuy-admin,c5dc6fe38ae1ee9cd9031f030f6f918f5e3d797a,78,5458,1,1,1,MIT
MTUHIDE/CoCoTemp,3e78b8884b9710eb9ba50603557fda6b6da1b555,126,12959,1,36,238,MIT
mvp4g/mvp4g2,24f65ac7ad70b70dd12dc84af6a654c46b13a51a,452,21763,3,0,166,Apache-2.0
mybatis-mapper/mapper,ae8f7e0a2acefc6164e08333078b5ffad72dbb8c,122,12440,9,0,2,Apache-2.0
myoss-cloud/myoss-starter-projects,46950a707843458269ffddc894d532f5346e02c5,183,25638,7,0,30,Apache-2.0
nacos-group/nacos-sync,61d347609e1dcd5632c9e8d8d383561cd9c7aae9,117,8282,5,0,25,Apache-2.0
NaluKit/nalu,33803e564b81f145d7333350a87537966320186d,1144,78654,9,0,4,Apache-2.0
NikhilBhendee/Novel-Reader,b5cae53e025c25426cf5d6860709996e9d9073c0,66,8809,1,1,1,Apache-2.0
nlighten/tomcat_exporter,bc6a2d257a94b3603249e14b8bdb06e0e555f8be,13,1358,3,0,9,Apache-2.0
nlpie/biomedicus-measures,0817b0f0c59975d5d13c5ca109eae6e1724dac84,19,2699,1,4,37,Apache-2.0
odiszapc/stem,d278c267a961cec47e57d71e12ab8093065d4643,231,22995,11,0,1,Apache-2.0
ogregoire/fror-common,e5e0594e50362940db0cc1bb081df126dd3a62d4,38,4049,1,10,34,Apache-2.0
oopsguy/kaptcha-spring-boot,eb46fd3ce0052fc136ed4d899daa838ff17b179b,32,3051,6,0,1,MIT
opengoofy/hippo4j,41b970a15f23fbe860f3544bda18d8b03fdaf7e6,463,34228,57,0,21,Apache-2.0
orctom/laputa,d047a4af0d3a9b2963f0882505e35de5033f4a9e,202,11439,12,0,10,Apache-2.0
pablopdomingos/nfse,14f8e950e599a23a2e0e3169543d7755015d10b9,101,6511,2,0,46,MIT
PacktPublishing/Master-Java-Unit-Testing-with-Spring-Boot-and-Mockito,36c4b877f11c5a56771c90533a93143a0f23ab73,22,847,1,14,-1,MIT
paritytrading/parity,4671f8fda265c6d16b4b7e9b88ab807ee40712c5,100,9684,13,0,22,Apache-2.0
pchudzik/springmock,f08a0a13c1dea1ceb35f462ccaaf51e738f64ef8,177,10735,5,0,39,MIT
pdtyreus/conversation-kit,3a291a9057aed0bbf037d59b9296020d23ae7754,50,4340,6,0,6,MIT
PedroPareschi/CollegeManagement,c32fc376dc5c793930e9d191a603964dafef603b,115,6862,1,1,1,MIT
phax/as2-peppol,5af30b734b7075d3b0acf137428dd7f04210c1e1,39,5903,4,0,1,Apache-2.0
phax/ph-css,c362912889ab9d160db860db5e368881e93f5726,265,42324,3,0,1,Apache-2.0
phax/ph-schematron,cf4468c5b4f6a02970ab9665454347505d7e25cb,240,31872,12,0,14,Apache-2.0
phax/ph-xpath2,3fc04e99033ca09dc71737a9e248453e02ddbfc4,95,8471,1,3,7,Apache-2.0
phenopolis/pheno4j,505ca5958039238e5585492e20e2fcc8e85fd0f9,79,6356,1,13,25,MIT
planetlevel/jot,a4d687bb84d948fd182cb16ec765874625a175b2,35,2766,1,9,33,Apache-2.0
plantbreeding/brapi-Java-TestServer,a2f7160e4259de01e38cbf5afa9e4c9e1727c27f,635,83463,1,1,1,MIT
poetix/ambivalence,09b34ccdb07541449588804031c8415d4a80c046,20,562,1,3,16,MIT
poetix/octarine,1161036869336b85d24c00a556840ef6e286f3a7,133,8429,9,0,17,Apache-2.0
pragmatic-objects/oo-atom,0658e0eda53b1a12f022f2bd370cfb30f9c314b4,300,16687,4,0,14,MIT
princesslana/smalld,15121db652f746d1a637a6f5021c2ded781ed76d,40,3254,1,14,42,MIT
ProgrammerAnthony/SentinelC,1f7ee034c1bfec32b7524966e8862e2893907d2f,1112,102390,86,0,2,Apache-2.0
ProgrammingLife2016/PL3-2016,02f299c13843625ccb74516030f5b65921d0e71b,55,6209,1,8,27,Apache-2.0
Pyknic/stiletto,cebace538e9491bbb591fb740fad076713219b61,28,1952,1,12,16,Apache-2.0
pzinsta/pizzeria,072f64ce63c6522fea3c1502b1d12d2f5b8088af,140,7361,8,0,31,MIT
quarkusio/qute,0a4121d19cfe884c44c7eeab221b82e6ee241e22,127,10055,13,0,2,Apache-2.0
quickmsg/smqttx,84427be819c0b391cdaf570b0f46b65ad77737eb,264,12849,20,0,1,Apache-2.0
rapid7/armor,940c6e722ebb63e04bab04ea57f95fa634c78d10,107,14453,5,0,28,Apache-2.0
rcsb/ciftools-java,875021a02ee430e33334868ef67c08c2b680d84d,713,141763,1,16,74,MIT
RealJeeshop/jeeshop,6498033d50ea952d70e22d9f50936cf1a10f836f,92,9882,9,0,6,Apache-2.0
Refactoring-Bot/Refactoring-Bot,2496468cbf53a8474ea6f1a8edab6b6f8e02211f,146,17553,1,38,62,MIT
remondis-it/pact-consumer-builder,4350f58d646d7aade31dc1caed7fb380b9cd143e,92,5943,1,65,30,Apache-2.0
rewe-digital/composer,ddb10281aa3a255ea823a030bc1a545048c75e30,87,5580,1,26,88,Apache-2.0
rht-labs/sonar-auth-openshift,889b6354b156dc8661a457a88622b005c40790ff,11,982,1,4,6,Apache-2.0
richkmeli/Richkware-Manager-Server,efcc21f0be148941e9e16434a61c4078b40cabf0,70,5160,1,5,3,Apache-2.0
RIGS-IT/sonar-xanitizer,c5d07552767f211c7fcc5eab0183d20cb48ceed6,207,47365,68,192,41,Apache-2.0
ripple/ripple-topology,8bbc908cb05e638ebc913247b2421ea3a7eaa941,122,8932,9,0,3,MIT
ronenhamias/scalecube-services,d4971485ac8d5aa0bcf9449c887b3756365ebd8a,138,10173,9,0,83,Apache-2.0
RuntimeTools/javametrics,f7e1a5ef3fdecb08d1c0fd7c93d00e864c8f9ad8,65,6867,8,0,26,Apache-2.0
rupert-madden-abbott/jcommander-spring-boot-starter,9724d009990daddd60d025cdf1fe614bfc82343a,19,562,1,10,9,Apache-2.0
rvillars/edoras-one-initializr,abe4244b9485936b1c2969c1a0e32a5b63040d7f,66,8048,1,2,1,Apache-2.0
sangjian/process-control,7d5cc4b25dcb00c70151584d668e0125396a502b,321,18442,7,0,2,Apache-2.0
sco0ter/babbler,c7ae0d1e6ae8dce62af5b981b1bbe3dc45c01c27,1042,132439,27,0,4,MIT
SeeSharpSoft/sharping,00a990216b0a1922fc8a62edbc858dac89f371e8,130,8795,10,0,2,Apache-2.0
seize-the-dave/get-kanban-simulation,54b57d9205ba63107e372f941042c09bde8e6174,101,4513,1,37,104,Apache-2.0
sensei-wu/spring-kafka-processor,901f186ddae42d08b1c1df40c7cfebc99dbd5ec8,23,947,1,1,2,Apache-2.0
serkan-ozal/jemstone,57c926b89ac4c5b48cc9dedf5ec214ace395dc12,34,5120,1,4,8,Apache-2.0
serpro69/kotlin-aspectj-maven-example,c05c5953ff3bac7a1184fe6ef1cdcd7b76181e2d,4,156,1,1,2,MIT
severell/severell,1c79860fd052c2631bfb2c79d9fde6094301e4b8,88,5760,1,17,57,MIT
shzlw/poli,5b90d6adc6f839866cb77854ad33f3cd9e1e26e8,81,7520,1,18,59,MIT
